batch_idx,round_i,sample_idx,kind,alpha,r,tol_accept,accept,mse,sse_p,sse_q,logp,logq,log_ratio,ratio,sigma_eff,sigma_mode,bias,mean_xi_minus_q,var_xi_minus_q,mean_xi_minus_p,var_xi_minus_p
2,0,0,proposal,1.401298464324817e-45,0.8015530705451965,False,False,0.08967094123363495,60.25886535644531,47.305423736572266,-482.0709228515625,-378.4433898925781,-103.62753295898438,1.401298464324817e-45,0.25,fixed,1.0,-0.0034387793857604265,0.07038315385580063,0.030369799584150314,0.08874861150979996
2,0,1,proposal,0.0,0.8706115484237671,False,False,0.08557972311973572,57.50957489013672,39.504539489746094,-460.07659912109375,-316.03631591796875,-144.040283203125,0.0,0.25,fixed,1.0,-0.011778539046645164,0.05864778161048889,0.014385661110281944,0.08537277579307556
2,0,2,proposal,0.0,0.6940810680389404,False,False,0.09791357070207596,65.79792022705078,43.59758377075195,-526.3833618164062,-348.7806701660156,-177.60269165039062,0.0,0.25,fixed,1.0,0.009741729125380516,0.06478246301412582,0.0222785584628582,0.09741724282503128
2,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,0.25,fixed,1.0,nan,nan,-0.005291823763400316,0.063015878200531
2,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,0.25,fixed,1.0,nan,nan,-0.003406457370147109,0.06491247564554214
2,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,0.25,fixed,1.0,nan,nan,0.006402940489351749,0.06569632887840271
0,0,0,proposal,0.0,0.6261138319969177,False,False,0.11670205742120743,78.42378234863281,40.47903823852539,-627.3902587890625,-323.8323059082031,-303.5579528808594,0.0,0.25,fixed,1.0,0.0046630618162453175,0.06021492928266525,-0.07791543751955032,0.11063124239444733
0,0,1,proposal,0.0,0.913435697555542,False,False,0.12277114391326904,82.50220489501953,40.00241470336914,-660.0176391601562,-320.0193176269531,-339.9983215332031,0.0,0.25,fixed,1.0,-0.00029028483550064266,0.05952731892466545,-0.10442528128623962,0.11186649650335312
0,0,2,proposal,0.0,0.15736445784568787,False,False,0.1402108073234558,94.22166442871094,41.86400604248047,-753.7733154296875,-334.91204833984375,-418.86126708984375,0.0,0.25,fixed,1.0,0.005238878540694714,0.062270183116197586,-0.13740231096744537,0.12133139371871948
0,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,0.25,fixed,1.0,nan,nan,-0.023521803319454193,0.05718005821108818
0,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,0.25,fixed,1.0,nan,nan,-0.00665495079010725,0.06292267143726349
0,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,0.25,fixed,1.0,nan,nan,0.004359082318842411,0.06237955763936043
1,0,0,proposal,1.401298464324817e-45,0.5350106358528137,False,False,0.09104351699352264,61.18124008178711,48.27027893066406,-489.4499206542969,-386.1622314453125,-103.28768920898438,1.401298464324817e-45,0.25,fixed,1.0,0.010792399756610394,0.07171429693698883,0.02140762470662594,0.09058521687984467
1,0,1,proposal,0.0,0.17129512131214142,False,False,0.08379501849412918,56.31024932861328,38.57636642456055,-450.48199462890625,-308.6109313964844,-141.87106323242188,0.0,0.25,fixed,1.0,-0.005915538873523474,0.057370323687791824,-0.007819595746695995,0.08373386412858963
1,0,2,proposal,0.0,0.835750162601471,False,False,0.08357424288988113,56.16188430786133,37.644866943359375,-449.2950744628906,-301.158935546875,-148.13613891601562,0.0,0.25,fixed,1.0,0.015900926664471626,0.05576630309224129,0.02302410639822483,0.08304413408041
1,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,0.25,fixed,1.0,nan,nan,0.0019579215440899134,0.060145214200019836
1,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,0.25,fixed,1.0,nan,nan,0.012491601519286633,0.06229701638221741
1,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,0.25,fixed,1.0,nan,nan,0.00111004535574466,0.06395163387060165
2,0,0,proposal,1.401298464324817e-45,0.8015530705451965,False,False,0.08967094123363495,60.25886535644531,47.305423736572266,-482.0709228515625,-378.4433898925781,-103.62753295898438,1.401298464324817e-45,0.25,fixed,1.0,-0.0034387793857604265,0.07038315385580063,0.030369799584150314,0.08874861150979996
2,0,1,proposal,0.0,0.8706115484237671,False,False,0.08557972311973572,57.50957489013672,39.504539489746094,-460.07659912109375,-316.03631591796875,-144.040283203125,0.0,0.25,fixed,1.0,-0.011778539046645164,0.05864778161048889,0.014385661110281944,0.08537277579307556
2,0,2,proposal,0.0,0.6940810680389404,False,False,0.09791357070207596,65.79792022705078,43.59758377075195,-526.3833618164062,-348.7806701660156,-177.60269165039062,0.0,0.25,fixed,1.0,0.009741729125380516,0.06478246301412582,0.0222785584628582,0.09741724282503128
2,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,0.25,fixed,1.0,nan,nan,-0.005291823763400316,0.063015878200531
2,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,0.25,fixed,1.0,nan,nan,-0.003406457370147109,0.06491247564554214
2,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,0.25,fixed,1.0,nan,nan,0.006402940489351749,0.06569632887840271
