batch_idx,round_i,sample_idx,alpha,r,tol_accept,accept,mse,sse_p,sse_q,logp,logq,log_ratio,ratio,sigma_eff,sigma_mode,bias
1,0,0,2.91831695243476e-32,0.1548151671886444,True,True,0.12481368333101273,83.87479400634766,0.1460423320531845,-84.27136993408203,-0.1467328518629074,-84.1246337890625,2.9183392492322696e-37,0.7054409980773926,adaptive,100000.0
1,0,1,3.0220011377754524e-32,0.8669856190681458,True,True,0.12549149990081787,84.33028411865234,0.19249512255191803,-84.28211975097656,-0.19238518178462982,-84.08973693847656,3.0219779384072073e-37,0.707308828830719,adaptive,100000.0
1,0,2,4.5278814002077906e-32,0.6430889964103699,True,True,0.13197563588619232,88.6876220703125,0.17353104054927826,-83.84945678710938,-0.164064422249794,-83.68539428710938,4.5278814273279605e-37,0.7272209525108337,adaptive,100000.0
1,1,0,2.5711846544293076e-32,0.9643725156784058,True,True,0.10153661668300629,68.23260498046875,0.18846549093723297,-84.48463439941406,-0.23335528373718262,-84.25128173828125,2.5711847065889995e-37,0.635465681552887,adaptive,100000.0
1,1,1,3.850069904751757e-32,0.2778148353099823,True,True,0.11498810350894928,77.27200317382812,0.180766299366951,-84.04415893554688,-0.1966087520122528,-83.84754943847656,3.850099592441299e-37,0.6780197024345398,adaptive,100000.0
1,1,2,1.8276160049882753e-32,0.037352658808231354,True,True,0.11146409064531326,74.90386962890625,0.19870862364768982,-84.81764221191406,-0.22500836849212646,-84.59263610839844,1.8276159445418648e-37,0.664498507976532,adaptive,100000.0
1,2,0,3.839158672313837e-32,0.9563682079315186,True,True,0.10800809413194656,72.58143615722656,0.16769784688949585,-84.04457092285156,-0.19418318569660187,-83.85038757324219,3.839187849455417e-37,0.6571173667907715,adaptive,100000.0
1,2,1,2.884801551377703e-32,0.3467361032962799,True,True,0.11871946603059769,79.77947998046875,0.1753261685371399,-84.32149505615234,-0.18530786037445068,-84.13618469238281,2.8848235530819344e-37,0.6877988576889038,adaptive,100000.0
1,2,2,2.0061716866998607e-32,0.44211751222610474,True,True,0.11654991656541824,78.32154083251953,0.210846409201622,-84.7275161743164,-0.22809168696403503,-84.49942779541016,2.006156278712507e-37,0.6798504590988159,adaptive,100000.0
2,0,0,3.317372893031147e-32,0.8864261507987976,True,True,0.12701968848705292,85.35723114013672,0.18698406219482422,-84.1808853149414,-0.18440714478492737,-83.99647521972656,3.3173729999334045e-37,0.7120302319526672,adaptive,100000.0
2,0,1,3.507133827705152e-32,0.6851508617401123,True,True,0.143552765250206,96.46746063232422,0.1759299635887146,-84.09420776367188,-0.15336456894874573,-83.94084167480469,3.507160603994226e-37,0.7573425769805908,adaptive,100000.0
2,0,2,3.772522248554423e-32,0.022189801558852196,True,True,0.14702852070331573,98.80316162109375,0.21562620997428894,-84.05133819580078,-0.18343210220336914,-83.86790466308594,3.772522364209751e-37,0.7666516900062561,adaptive,100000.0
2,1,0,3.030659241416434e-32,0.746222198009491,True,True,0.12193482369184494,81.94020080566406,0.19796645641326904,-84.29051971435547,-0.203644797205925,-84.08687591552734,3.030635945046946e-37,0.6971787810325623,adaptive,100000.0
2,1,1,2.829630605642622e-32,0.18710607290267944,True,True,0.11546441912651062,77.59208679199219,0.17552703619003296,-84.3463134765625,-0.1908062845468521,-84.15550994873047,2.829608806263468e-37,0.6782045364379883,adaptive,100000.0
2,1,2,3.831433911187408e-32,0.36719927191734314,True,True,0.11223728209733963,75.42345428466797,0.2226596176624298,-84.10067749023438,-0.24827589094638824,-83.85240173339844,3.8314629954890415e-37,0.6696354746818542,adaptive,100000.0
2,2,0,4.976168513584554e-32,0.9249885082244873,True,True,0.10922856628894806,73.40159606933594,0.18607884645462036,-83.80343627929688,-0.2124483436346054,-83.59098815917969,4.976168689076447e-37,0.6617696285247803,adaptive,100000.0
2,2,1,2.5144032814336e-32,0.6802668571472168,True,True,0.1054309830069542,70.84961700439453,0.22623249888420105,-84.54357147216797,-0.2699591815471649,-84.27361297607422,2.5144031959835408e-37,0.6473116874694824,adaptive,100000.0
2,2,2,4.4513620076938383e-32,0.8231656551361084,True,True,0.10062655806541443,67.62104797363281,0.17289933562278748,-83.91699981689453,-0.21456624567508698,-83.70243072509766,4.451396090859815e-37,0.6347474455833435,adaptive,100000.0
0,0,0,4.084335711167241e-37,0.6261138319969177,True,True,0.13081525266170502,87.90785217285156,0.1699623465538025,-84.35704803466797,-0.16309717297554016,-84.19395446777344,2.7228903993755757e-37,0.7218353748321533,adaptive,1.5
0,0,1,3.715398264155734e-37,0.913435697555542,True,True,0.12037259340286255,80.890380859375,0.18588632345199585,-84.4827651977539,-0.19414164125919342,-84.28861999511719,2.4769510842911014e-37,0.6919096112251282,adaptive,1.5
0,0,2,6.159774876449018e-37,0.15736445784568787,True,True,0.12661035358905792,85.08216094970703,0.16831977665424347,-83.94915008544922,-0.16607831418514252,-83.78307342529297,4.106516584299345e-37,0.7118625044822693,adaptive,1.5
0,1,0,4.46296207207272e-37,0.7847285270690918,True,True,0.09103202074766159,61.173519134521484,0.18318884074687958,-84.35791778564453,-0.2526163160800934,-84.10530090332031,2.975307973312562e-37,0.6021487712860107,adaptive,1.5
0,1,1,4.787292489536822e-37,0.8681128025054932,True,True,0.08464889973402023,56.88405990600586,0.19314289093017578,-84.32144927978516,-0.28630319237709045,-84.03514862060547,3.1915283263578814e-37,0.580779492855072,adaptive,1.5
0,1,2,2.1891416437158644e-37,0.8619871735572815,True,True,0.09255387634038925,62.19620132446289,0.20135702192783356,-85.09308624267578,-0.27548453211784363,-84.8176040649414,1.459427799845202e-37,0.6045326590538025,adaptive,1.5
0,2,0,4.7212776551941115e-37,0.8161815404891968,True,True,0.11740948259830475,78.899169921875,0.1702873855829239,-84.23082733154297,-0.1817946583032608,-84.04903411865234,3.147518362060156e-37,0.6843616962432861,adaptive,1.5
0,2,1,4.75685539006067e-37,0.9722701907157898,True,True,0.1105770617723465,74.30778503417969,0.20024272799491882,-84.26860809326172,-0.2270849049091339,-84.0415267944336,3.171236851971195e-37,0.6640017628669739,adaptive,1.5
0,2,2,4.533693340734717e-37,0.8870962858200073,True,True,0.11337175220251083,76.1858139038086,0.21244552731513977,-84.32472229003906,-0.23514102399349213,-84.08958435058594,3.0224389095500316e-37,0.6721165776252747,adaptive,1.5
1,0,0,4.377475691100769e-37,0.1548151671886444,True,True,0.12481368333101273,83.87479400634766,0.1460423320531845,-84.27136993408203,-0.1467328518629074,-84.1246337890625,2.9183392492322696e-37,0.7054409980773926,adaptive,1.5
1,0,1,4.533001435604972e-37,0.8669856190681458,True,True,0.12549149990081787,84.33028411865234,0.19249512255191803,-84.28211975097656,-0.19238518178462982,-84.08973693847656,3.0219779384072073e-37,0.707308828830719,adaptive,1.5
1,0,2,6.791822365199695e-37,0.6430889964103699,True,True,0.13197563588619232,88.6876220703125,0.17353104054927826,-83.84945678710938,-0.164064422249794,-83.68539428710938,4.5278814273279605e-37,0.7272209525108337,adaptive,1.5
1,1,0,3.856776947779622e-37,0.9643725156784058,True,True,0.10153661668300629,68.23260498046875,0.18846549093723297,-84.48463439941406,-0.23335528373718262,-84.25128173828125,2.5711847065889995e-37,0.635465681552887,adaptive,1.5
1,1,1,5.775104771318844e-37,0.2778148353099823,True,True,0.11498810350894928,77.27200317382812,0.180766299366951,-84.04415893554688,-0.1966087520122528,-83.84754943847656,3.850099592441299e-37,0.6780197024345398,adaptive,1.5
1,1,2,2.7414238607608586e-37,0.037352658808231354,True,True,0.11146409064531326,74.90386962890625,0.19870862364768982,-84.81764221191406,-0.22500836849212646,-84.59263610839844,1.8276159445418648e-37,0.664498507976532,adaptive,1.5
1,2,0,5.758738053671039e-37,0.9563682079315186,True,True,0.10800809413194656,72.58143615722656,0.16769784688949585,-84.04457092285156,-0.19418318569660187,-83.85038757324219,3.839187849455417e-37,0.6571173667907715,adaptive,1.5
1,2,1,4.327202483186898e-37,0.3467361032962799,True,True,0.11871946603059769,79.77947998046875,0.1753261685371399,-84.32149505615234,-0.18530786037445068,-84.13618469238281,2.8848235530819344e-37,0.6877988576889038,adaptive,1.5
1,2,2,3.0092577356752067e-37,0.44211751222610474,True,True,0.11654991656541824,78.32154083251953,0.210846409201622,-84.7275161743164,-0.22809168696403503,-84.49942779541016,2.006156278712507e-37,0.6798504590988159,adaptive,1.5
2,0,0,4.976059724107861e-37,0.8864261507987976,True,True,0.12701968848705292,85.35723114013672,0.18698406219482422,-84.1808853149414,-0.18440714478492737,-83.99647521972656,3.3173729999334045e-37,0.7120302319526672,adaptive,1.5
2,0,1,5.260700884907198e-37,0.6851508617401123,True,True,0.143552765250206,96.46746063232422,0.1759299635887146,-84.09420776367188,-0.15336456894874573,-83.94084167480469,3.507160603994226e-37,0.7573425769805908,adaptive,1.5
2,0,2,5.6587835463146265e-37,0.022189801558852196,True,True,0.14702852070331573,98.80316162109375,0.21562620997428894,-84.05133819580078,-0.18343210220336914,-83.86790466308594,3.772522364209751e-37,0.7666516900062561,adaptive,1.5
